,playlist,name,artist,albumreleasedate,genres,energy,danceability,loudness,speechiness,acousticness,liveness,trackpopularity
0,Descanso,Reminiscing,Dosi,2023-01-30,lo-fi study,0.309,0.55,-12.575,0.041,0.911,0.0693,41
1,Descanso,miss you,Tibeauthetraveler,2021-08-14,lo-fi study,0.172,0.61,-14.957,0.033,0.892,0.101,54
2,Descanso,Escaped,Mujo,2021-01-08,japanese chillhop,0.206,0.783,-10.016,0.0663,0.906,0.109,53
3,Descanso,Comfort,Bcalm,2021-02-25,focus beats,0.216,0.627,-15.371,0.0328,0.93,0.122,52
4,Descanso,Ogmios,Cosmic Koala,2022-12-05,lo-fi study,0.27,0.478,-14.107,0.0468,0.486,0.11,35
5,Descanso,Eventide,Prithvi,2022-03-08,indian lo-fi,0.169,0.548,-14.918,0.0484,0.936,0.0993,52
6,Descanso,Icicles,G Mills,2020-06-03,lo-fi beats,0.453,0.636,-14.432,0.0467,0.695,0.0746,54
7,Descanso,Everything Gone,Mujo,2021-08-30,japanese chillhop,0.144,0.66,-13.126,0.0419,0.889,0.101,56
8,Descanso,Isolation,Dosi,2023-01-30,lo-fi study,0.322,0.537,-13.72,0.0303,0.985,0.114,56
9,Descanso,Warm Nights,A[way],2020-03-27,lo-fi beats,0.585,0.798,-12.096,0.152,0.682,0.154,0
10,Descanso,Above The Quiet City,cxlt.,2021-05-10,lo-fi study,0.166,0.572,-19.804,0.0338,0.976,0.11,52
11,Descanso,Everything (You Are),Hoogway,2020-06-29,lo-fi study,0.098,0.637,-21.694,0.0464,0.843,0.0847,52
12,Descanso,Shelter,WYS,2023-01-02,lo-fi beats,0.316,0.56,-11.974,0.0427,0.93,0.0865,44
13,Descanso,Feelin Warm,Pandrezz,2021-09-05,lo-fi study,0.0848,0.722,-17.086,0.061,0.823,0.106,52
14,Descanso,Noreia,Cosmic Koala,2022-12-05,lo-fi study,0.346,0.438,-9.579,0.0319,0.858,0.174,36
15,Descanso,Liquid Spots,Rudy Raw,2021-07-07,lo-fi study,0.35,0.642,-12.421,0.308,0.731,0.111,57
16,Descanso,Poolside,Aylior,2020-11-20,lo-fi study,0.126,0.706,-18.802,0.116,0.964,0.105,53
17,Descanso,"We're home, Now",softy,2022-07-04,lo-fi beats,0.364,0.502,-9.587,0.0911,0.958,0.12,50
18,Descanso,Dahlia,no one's perfect,2022-07-28,lo-fi study,0.192,0.801,-14.207,0.0598,0.426,0.104,54
